0,temperature_date,冷&热&高温&低温&最高&最低&最冷&最热,INFO&DATETEMPERATURE&temperature_date,1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
1,temperature,平均,INFO&AVGTEMPERATURE&temperature,2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
2,temperature,最高,INFO&HIGHTEMPERATURE&temperature,3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
3,temperature,最低,INFO&HIGHTEMPERATURE&temperature,4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
4,weather_element_1,天气,INFO&ELEMENT&weather_element_1,5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
5,weather_element_2,温度&气温,INFO&ELEMENT&weather_element_2,6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
6,weather_element_10,能见度,INFO&ELEMENT&weather_element_10,7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
7,weather_element_6,湿度,INFO&ELEMENT&weather_element_6,8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
8,weather_element_4,降水量&水量&降雨量&雨量,INFO&ELEMENT&weather_element_4,9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
9,weather_element_3,空气质量&空气&PM2.5&pm2.5,INFO&ELEMENT&weather_element_3,10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
10,weather_element_13,紫外线,INFO&ELEMENT&weather_element_13,11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
11,weather_element_5,风向&风&风力&风速,INFO&ELEMENT&weather_element_5,12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
12,weather_element_9,气压,INFO&ELEMENT&weather_element_9,13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
13,weather_element_7,日出时间&日出,INFO&ELEMENT&weather_element_7,14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31+32+33+34+35+36+37+38+39+65+66+67
