雨,将出现下雨天气,不下雨
雪,将出现下雪天气,不下雪
雨夹雪,将出现雨夹雪天气,不是雨夹雪天气
晴,天气晴朗,不是晴天
小雨,将出现小雨天气,不是小雨
中雨,将出现中雨天气,不是中雨
大雨,将出现大雨天气,不是大雨
阵雨,将出现阵雨天气,不是阵雨天气
雷阵雨,将出现雷阵雨天气,不是雷阵雨天气
暴雨,将出现暴雨天气,不是暴雨天气
小雪,将出现小雪天气,不是小雪天气
中雪,将出现中雪天气,不是中雪天气
大雪,将出现大雪天气,不是大雪天气
太阳雨,将有太阳雨,没有太阳雨
雷雨,将出现雷雨天气,不是雷雨天气
小雨转大雨,将出现小雨转大雨天气,不是小雨转大雨天气
阴转多云,将出现阴转多云天气,不是阴转多云天气
晴转大雨,将出现晴转大雨天气,不是晴转大雨天气
晴转大雪,将出现晴转大雪天气,不是晴转大雪天气
阴转晴,将出现阴转晴天气,不是阴转晴天气
晴天,将出现晴天,不是晴天
阴天,将出现阴天,不是阴天
多云,将出现多云天气,不是多云天气
雪转晴,将出现雪转晴天气,不是雪转晴天气
雨转晴,将出现雨转晴天气,不是雨转晴天气
多云转晴,将出现多云转晴,不是多云转晴天气
晴转多云,将出现晴转多云天气,不是晴转多云天气
阴雨天,将出现阴雨天,不是阴雨天
雨转多云,将出现雨转多云天气,不是雨转多云天气
阴转小雨,将出现阴转小雨天气,不是阴转小雨
闷热天,将出现闷热天,不是闷热天
大热天,将出现大热天,不是大热天
大冷天,将出现大冷天,不是大冷天
阴雨,将出现阴雨天气,不是阴雨天气
小到中雨,将出现雨夹雪天气,不是小到中雨天气
浮尘,将出现浮尘,没有浮尘
晴间多云,将出现晴间多云天气,不是晴间多云天气
大部多云,将出现大部多云天气,不是大部多云天气
雷阵雨伴有冰雹,将出现雷阵雨伴有冰雹天气,没有雷阵雨伴有冰雹
大暴雨,将出现大暴雨天气,没有大暴雨
特大暴雨,将出现特大暴雨天气,没有特大暴雨
冻雨,将出现冻雨天气,没有冻雨
阵雪,将出现阵雪天气,没有阵雪
扬沙,将出现扬沙天气,没有扬沙
强沙尘暴,将出现强沙尘暴天气,没有强沙城暴
梅雨天,将出现梅雨天,不是梅雨天
风,将出现大风天气,没有风
雾,将有雾,没有雾
雾霾,将出现雾霾天气,没有雾霾
沙尘暴,将出现沙尘暴天气,没有沙尘暴
冰雹,将出现冰雹天气,没有冰雹
雷电,将出现雷电天气,没有雷电
微风,将出现微风,没有微风
狂风,将出现狂风,没有狂风
强风,将出现强风,没有强风
大风,将出现大风,没有大风
台风,将出现台风,没有台风
龙卷风,将出现龙卷风,没有龙卷风
暴风雨,将出现暴风雨天气,没有暴风雨
暴风雪,将出现暴风雪天气,没有暴风雪
太阳,会有天晴,天不放晴
暴雪,将出现暴雪天气,没有暴雪天气
飓风,将出现飓风,没有飓风
热带风暴,将出现热带风暴,没有热带风暴
大太阳,会有大太阳,不出大太阳
晴朗,将出现晴朗天气,不是晴朗天气
阴,将出现阴天天气,不是阴天
阴冷天,将出现阴冷天天气,不是阴冷天
阴雨天气,将出现阴雨天气,不是阴雨天气
打雷,将出现打雷天气,不打雷
雷,将出现打雷天气,不打雷
闪电,将出现闪电天气,不会出现闪电
